,受理番号,相談種別ID,【相談内容分類：ガイドブックmission1に準拠して】,,件名,相談内容,相談備考,対応状況,処置備考,【FAQ用】検索キーワード,案件項目【Mission1】,提示する対策項目【Mission2～4】,【FAQ用】標準回答（案）,【FAQ用】対策のための参考資料・サイト（ここからセキュリティ等を参照）
30,4,2,01.個別サイバーセキュリティ事象の相談【Mission１】,052.ランサムウェアを使った詐欺・恐喝,ランサムウエアの危険性及び対策を教えてください。,"新聞報道でランサムウエアの危険性を読んだ。当社に関してその予防等対策を知りたい。
①組織
・従業員　３０名

②システム構成(本社）
・ＮＡＳサーバ（Ｉ／Ｏデータ製）へＰＣ１０台接続
・外部ネットワークへルータ接続
・Windods ７、ウイルスバスター（トレンドマイクロ）

③確認事項
・運用上　早急にNASサーバ、ＰＣのバックアップ
・ＮＡＳサーバの最新バージョンを調べる事
・ＰＣ，ウイルスソフトのバージョンを最新にする
・セキュリティ対応の組織的な活動も必要と説明",,"システム構成上の全般的な脆弱性確認が必要と推測、ＩＰＡ「情報セキュリティ安心相談窓口」を案内。

・本社　日本橋、工場　埼玉県草加市",,,ガイドブックP.20,,,
31,5,4,01.個別サイバーセキュリティ事象の相談【Mission１】,052.ランサムウェアを使った詐欺・恐喝,　取引先に対するウイルス感染元の調査業者紹介依頼について,　取引先であるランサムウェアに感染し、ファイルサーバーが暗号化され、復元できない状態である。取引先から「感染元を調査してくれる専門業者を紹介してもらいたい」との相談を受けた。仲介になるが良い調査専門業者を教えてもらいたい。,"１　取引先は渋谷区代々木所在の第一ビルメンテナンス。この会社については、トレンドマ　イクロ株式会社とのライセンス契約あり。
　ライセンス（ＩＤ３２５２３）
２　警視庁サイバー犯罪対策課からの転送。","トレンドマイクロ株式会社
スタンダードサポート窓口
（ユーザ向け）
　　０３ー５３３４ー３６０５
を紹介。",Tcyssメンバーとしてのトレンドマイクロ社に連絡。社内調整をしてもらい、復元についても検討。,,ガイドブックP.20,,,
32,86,2,01.個別サイバーセキュリティ事象の相談【Mission１】,052.ランサムウェアを使った詐欺・恐喝,ランサムウェアは、メールを開いただけで感染することもあるのか教えてもらいたい。,"１　昨年、ランサムウェアに感染したことがある。
２　メールの添付ファイルやＵＲＬを開いただけで、ランサムウェアに感染することは聞いたことがある。
３　メールを開いただけでも、ランサムウェアに感染することもあるのかどうか教えてもらいたい。",,"１　不審メールの添付ファイルやＵＲＬを開くことは勿論のこと、不審メールを開いただけでもランサムウェアに感染することはある。
２　ランサムウェア感染対策として、不審メールを開いたり、添付ファイルやＵＲＬを絶対開かないことや貴重なデータはバックアップしておくこと。",,,ガイドブックP.20,,,
33,87,2,01.個別サイバーセキュリティ事象の相談【Mission１】,052.ランサムウェアを使った詐欺・恐喝,システム保守会社からランサムウェアへの注意喚呼チラシを入手しました。どの様な対策をすればよいですか、教えてください。,"診療事務用としてＰＣ２台（内一台はバックアップ用）使用している。
システム運用保守はＩＴ業者に依頼中です。
ウイルス対策として、
①Ｗｉｎｄｏｕｓ７は自動更新（Ｕｐｄａｔｅ）に設定。
②ウイルス対策ソフトはＥＳＴ社パッケージを導入。
③診療事務データは別のＨＤＤへ週次更新している。

ランサムウェアへの対応として他に行う必要な作業があれば教えてください。",警視庁よりサイバーセキュリティ（ランサムウェア注意喚呼チラシ）を入手。,"ランサムウェア被害の対策を完全に行うのは難しいので、現状は被害の拡大防止と予防対策が中心であるとの説明を行った。
医療システムには診療関係の個人情報が多く保管されている為、総合的な情報セキュリティ対策（ランサムウェア対策も含む）の必要性とそのリスクにつて再確認を行った。
早急に医療情報セキュリテイに関するガイドラインの導入検討を勧めた。",,,ガイドブックP.20,,,
34,90,2,01.個別サイバーセキュリティ事象の相談【Mission１】,052.ランサムウェアを使った詐欺・恐喝,ランサムウェアウイルス及び標的型メールについての対処法等について、教えてもらいたい。,１　ランサムウェアウイルスに感染し、パスワードを暗号化された場合、暗号を解除させるため、相手の要求金額を支払わなければならないのか。２　標的型メールに対する注意すべきこと等につていて、教えてもらいたい。,,"１　ランサムウェアウイルスに感染し、暗号化させられて使用できなくなった場合、暗号化を解除するため、相手の要求金額を支払ったとしても、必ず暗号化を解除してもらえなかった事例も多々あると聞いていますので、ランサムウェアウイルスに感染させられないためにも、最新のセキュリティー対策ソフトを入れ、大切な情報はバックアップしておくことや、不審なメールやＵＲＬを開いたりしないよう指導教育を徹底すること。

２　標的型メールに対する注意すべきこと
標的型メールは、業務や個人に関係しそうな内容を装ったメールを送り、信用させて、メールの添付ファイルを開かせてウイルスに感染させたり、メール内のURLを開かせて悪意のあるサイトや偽サイトに誘導させるもの。
対策としては、通常のセキュリティ対策が行った上で、特に、従業員が、不審なメールであることに気が付くことが重要。通常受け取らないメールを受信した時、その送信元、内容を確認し、少しでも不審を持った場合は、絶対に開かない。どうしても業務上内容を確認する必要がありそうな場合は、送信元に偽装メールでないことを確認することを徹底させる",,,ガイドブックP.20,,"１　ランサムウェアウイルスに感染し、暗号化させられて使用できなくなった場合、暗号化を解除するため、相手の要求金額を支払ったとしても、必ず暗号化を解除してもらえなかった事例も多々あると聞いていますので、ランサムウェアウイルスに感染させられないためにも、最新のセキュリティー対策ソフトを入れ、大切な情報はバックアップしておくことや、不審なメールやＵＲＬを開いたりしないよう指導教育を徹底すること。

２　標的型メールに対する注意すべきこと
標的型メールは、業務や個人に関係しそうな内容を装ったメールを送り、信用させて、メールの添付ファイルを開かせてウイルスに感染させたり、メール内のURLを開かせて悪意のあるサイトや偽サイトに誘導させるもの。
対策としては、通常のセキュリティ対策が行った上で、特に、従業員が、不審なメールであることに気が付くことが重要。通常受け取らないメールを受信した時、その送信元、内容を確認し、少しでも不審を持った場合は、絶対に開かない。どうしても業務上内容を確認する必要がありそうな場合は、送信元に偽装メールでないことを確認することを徹底させる",
35,94,2,01.個別サイバーセキュリティ事象の相談【Mission１】,052.ランサムウェアを使った詐欺・恐喝,ランサムウｴア対策を教えてください。,"中小企業であるが、セキュリティ対策はシステム運用も含めてベンダーに依頼し対応している。

データのバックアップはＮＡＳへ定期に行っている。

ランサムウエア対策として更に考慮する事項があれば教えてください。（メール開封に関す注意点等）",,システム環境上の対策(ランサムウェア対策含む）をさらに有効にする為に社内要員へのセキュリティ意識向に関する社内方針を検討導入する必要性について説明した。具体的にはＩＰＡ「中小企業の情報セキュリティ対策ガイドライン」を照会。,,,ガイドブックP.20,,,
36,102,2,01.個別サイバーセキュリティ事象の相談【Mission１】,052.ランサムウェアを使った詐欺・恐喝,ランサムウェアに感染しないための方策等を教えてほしい。,"１　先日、(株)ＫＴＳというサイバーセキュリティー会社のセールス社員が、当園に来た。
２　セールス内容は「最近ランサムウェア感染による被害が多発しており、ランサムウェア感染対策を講じる必要がある。」「当社が、ランサムウェア感染防止装置を外部に設置し管理する契約をしたい。」との依頼を受けた。
３　契約すれば、１００パーセントランサムウェア感染防止できるのか教えてもらいたい。",,"１　現時点において、１００パーセントランサムウェア感染策はないが、、１００パーセントにより近づけるために、最新のウイルス対策ソフトを更新することや不審なメールやＵＲＬ添付を開かないこと及び重要なデータをバックアップ保存しておくこと並びにこれらのことを職員全員に指導教育することが大切である。
２　契約したからといって、１００パーセント、サムウェア感染防止が完了したと考えることは、危険であることを教示した。",,,ガイドブックP.20,,,
37,104,2,01.個別サイバーセキュリティ事象の相談【Mission１】,052.ランサムウェアを使った詐欺・恐喝,ランサムウェアウイルス感染の防止策を教えてもらいたい。,"１　ラビックスという通信関連会社のセールス社員が、当事務所に来た。
２　セールス内容は「最近ランサムウェア感染による被害が多発しており、ランサムウェア感染対策を講じる必要がある。」「当社が、ランサムウェア感染防止装置を外部に設置し管理する契約をしたい。」との依頼を受けた。
３　ランサムウェア感染の防止策を教えてもらいたい。",,"１　現時点において、ランサムウェア感染防止策としては、最新のウイルス対策ソフトを更新することや不審なメールやＵＲＬ添付を開かないこと等が最も大切である。
２　その他対策として、重要なデータをその都度、バックアップ保存しておくことや従業員等に対する指導教育をすることが重要であることを教示した。",,,ガイドブックP.20,,,
38,105,2,01.個別サイバーセキュリティ事象の相談【Mission１】,052.ランサムウェアを使った詐欺・恐喝,ランサムウェアウイルスに感染し、重要なデータが盗まれた場合の対処策及び盗まれないための防止策等教えてもらいたい。,"１　本年７月２８日、武蔵野商工会主催のサイバーセキュリティー対策研修会に出席した。
２　私は、サイバーセキュリティー担当者であり、サイバーセキュリティー対策に十分注意を払っているが、もし従業員が、誤って不審メールを開き、ランサムウェアに感染させ、会社で保管している重要データ等が盗まれた場合、その対処策と盗まれないための防止策を教えてもらいたい。",,"１　ランサムウェアに感染し、身代金を要求され場合、仮に身代金を支払っても、暗号化された以上元に戻すことは、ほとんど不可能である。重要なデータを盗まれた場合、管轄する警察署に被害届を提出すること。
２　ランサムウェア感染防止策としては、最新のウイルス対策ソフトを更新することや不審なメールやＵＲＬ添付を開かないこと及び重要なデータをその都度、バックアップ保存しておくことや従業員等に対するサイバーセキュリティ対策の指導教育を徹底することが重要であることを教示した。",,,ガイドブックP.20,,,
39,108,2,01.個別サイバーセキュリティ事象の相談【Mission１】,052.ランサムウェアを使った詐欺・恐喝,ランサムウェアへの対策について,ランサムウェアの被害に備えて、社員に教養するほか、どのような対処をすればいいか。,,"ランサムウェアの被害を受けた場合、お金を支払ってもデータが戻らない場合がある。
日ごろからのバックアップが重要となるので、随時パソコンのバックアップを実施するとともに、バックアップ先についてはネットワークから切り離す対応を取ることを教示した。",ＣＳ本部小松主任と協力対応,,ガイドブックP.20,,,
40,6,1,01.個別サイバーセキュリティ事象の相談【Mission１】,053.アドウェアによる詐欺,ＰＣ画面上に「ウイルスに感染しました。」の表示が出た。,"ネット検索中に、「ウイルスに感染しましたので連絡先へ電話してください。」の表示が出た。
（弥生のホームページ検索中）
連絡先へ電話したら日本語（不慣れ）人からＵＲＬへ電話で指定する特定のアドレスを入力するよう依頼された。不審に思い電話を切った。","構成　ＰＣ１台（業務用）Windows７
ウイルスバスター　
Windows７＝＞１０へアップデイト予定

会計ソフト　弥生　導入している。","ネットワークケーブルを遮断。
重要ﾌｧｲﾙを外部へバックアップを早急に依頼した。

※バックアップ後再立ち上げを行い、ウイルスバスター、Ｍｉｃｒｏｓｏｆｔ　Ｕｐｄａｔｅ（
Ｓａｆｅｔｙ　Ｓｃａｎｎｎｅｒ等）の検索結果の確認を行い再連絡を依頼した。

（その後　連絡なく、打ち切りとした）",商工部調整課共同組合担当様と面識有る。,,,,,
41,11,1,01.個別サイバーセキュリティ事象の相談【Mission１】,053.アドウェアによる詐欺,パソコンの画面に「ウイルスに侵されている。すべての作業を止めてください」と表示され、連絡先に電話したところ「１万円で治す」とのことでクレジットカードで払ってしまった。,"ウィルス対策ソフトでは検知できなかった。
１万円を払ったら、警告は消えた。

クレジットカードで支払ってしまったが、クレジット会社は「本人が承認しているのでお金は戻せない」とのことだった。
今のところ、ＬＡＮケーブルと電源は抜いている。
バックアップは最低限とれている。
今日、これから業者が来るが、やっておいた方がいいことはあるか。

業務ＰＣはデスクトップ１台のみ。社内ネットワークはない。
業務端末でネットを見ている。",,"ウィルス対策ソフトで検知できなかったとのことだが、「警告」の他にも情報窃取等のおそれがあるので、クリーンインストールを勧める。
それにあたり、内蔵ハードディスクからのデータバックアップ方法について説明。
委託した業者についても、法外な手数料を取られないように注意喚起。
悪質な手口であり、１万円の件については、警察に相談することをすすめた。",業者が来てトラブルになるようなら、再度架電するように教示すると「ありがとうございます」と納得した。,,,,,
42,35,1,01.個別サイバーセキュリティ事象の相談【Mission１】,053.アドウェアによる詐欺,ウイルスに感染し、現金を支払ってしまったが、今後ウイルスに感染させないための対策等を教えてもらいたい。,"１　パソコンの画面に、無料サイトの画面が表示され、その画面表示を消しても消えなかったので、画面を開いたところ、大きな音がし画面上にウイルスが入っているのでウイルスを消す場合は、０３ー４５７０ー４３７２に電話下さい。と表示された。
２　ウイルスを消すため上記電話番号に電話をかけたところ、アジア系外国人と思料される男性から「セキュリティー注文ＩＤ，ＵＤ６ＥＧ２７ＳＶＣＨＵＵＭＯＮ、ヌマタケンタ宛に２３，０００円をクレジット決済して下さい。」等と指示された。
３　上記ＩＤにクレジット決済しようと試みたがクレジット決済できなかったので、再度確認のため前記電話番号に電話をかけた。
４　その結果、同じアジア系外国人から「クレジット決済ができないのなら、プリペード決済でお願いします。」と指示され、その指示通りプリペード決済した結果、ウイルス感染していたパソコンが正常に作動されるようになった。
５　今後、ウイルス感染させないための対策等を教えてもらいたい。","１　パソコンは、１台のみの設置。
２　パソコンが正常に作動した後、トレンドマイクロ社に対し、遠隔操作されていないか確認した結果、「現在のところ、遠隔操作されている状況にない」旨の回答有り。","１　現在の正常な状態で、バックアップをすること。
２　パソコン本体をクリーンインソールすること。
３　今後、怪しい画面は絶対開かないこと。
以上、３点について教示した。",,,,,,
43,38,1,01.個別サイバーセキュリティ事象の相談【Mission１】,053.アドウェアによる詐欺,"パソコンの画面に警告が出て
連絡先に電話したら
プリペイドカード２万円分取られた","先日、パソコンの画面にセキュリティ警告が出てピーピー警告音が鳴った。
ちょっと変なサイトを見た後だったので心配になり、画面上の連絡先03-4590-0768に電話したところ、クレジットカードでの２万円の入金を要求されたが、うまくいかず、その後プリペイドカードの認証番号を要求されたのでコンビニで購入し２万円分のライフのプリペイド情報を送ったところ、警告画面は消えた。
しかし、今後このサイトからさらに要求されるのではないかと心配である。

相手は、中国人なまりの男だった。
くやしい。",,"プリペイドで要求額を支払い、警告画面も消えたことから、再度要求が来ることはないと思うが、心配ならデータバックアップを取り、ＯＳのクリーンインストールを勧める。
変なサイトには、危険がいっぱいなので、あまりそのようなサイトは見に行かないように進言した。",相談者納得して終了,,,,,
44,70,1,01.個別サイバーセキュリティ事象の相談【Mission１】,053.アドウェアによる詐欺,　インターネットで映画を観ていたら、突然操作不能になり、ウイルス感染した可能性があるのでどうしたら良いか教えてもらいたい。,"１　インターネットで映画を観ていたら、突然操作不能になった。
２　画面を見ると、「あなたのパソコンはブロックされました。すぐに私たちに電話を下さい。03-4579-1995」等と表示されていた。
３　ウイルス感染にした可能性があるので、どうしたら良いか困っています。教えて下さい。",私は、１８歳高校生です。,"１　最近、多く発生している「架空請求」と思料されます。
２　ＩＰＡセキュリティセンター（情報セキュリティ安心相談窓口）に即報し、指示を受けるよう教示した。",相談者から「適切かつ親切な対応に感謝します。ＩＰＡの指示によりパソコンが起動しました。本当に有難うございました。」とのお礼の言葉あり。,,,,,
45,134,2,01.個別サイバーセキュリティ事象の相談【Mission１】,053.アドウェアによる詐欺,会社のＰＣがアドウェアに感染したが、対策を教えてほしい,"会社でＭＡＣ４台とWindows１台を運用している。
先日、ＭＡＣ１台がアドウェアに感染した。
ＰＣについては、ウィルス対策ソフトを導入していない。
サポート会社に確認したところ、ウィルス対策ソフトを導入しろと言われた。
どのウィルス対策ソフトが軽くて使いやすいか教えてほしい。
サポート会社のキャノンからは、ＥＳＥＴを勧められている。",,"東京都の公平性の観点から、ソフトのおすすめはできない。
ＥＳＥＴは比較的動作が軽いとは聞いている。
また、デザインに使うということであれば、ネットから切り離して使うことも考慮してもいいかと考えられるとアドバイスした。",,,,,,
46,44,2,01.個別サイバーセキュリティ事象の相談【Mission１】,061.なりすまされたECサイトの被害,インターネットによるクレジット詐欺（商品取引）被害を受け、警察に相談中であるが、今後の防御策等を教えてもらいたい。,"１　インターネットを介し、クレジット決済によるサッカー用品の販売をしているが、これまで４人から４０件の注文により、約８００万円のクレジット詐欺（商品取引）被害を受けた。
２　被害については、現在警視庁渋谷警察署に相談をしている。
３　今後、クレジット詐欺（商品取引）被害を受けないための防御策等を教えてもらいたい。",,"１　警察署の相談から、被害届の提出に移行。
２　クレジットカードの代行会社の検討。３　高額な注文に対する本人確認の徹底。
４　役員を含め、全社員に対する情報共有と情報セキュリティー対策のルールを明文化と遵守。",,,,,,
47,48,1,01.個別サイバーセキュリティ事象の相談【Mission１】,061.なりすまされたECサイトの被害,開発販売しているＷｅｂアプリのアカントが他のサイトにて無許可で販売されている。,"・ネット販売しているアプリのアカントがショピングサイト（メルカリサイト）で掲示販売されている。
無許可での再販を禁止しているので、販売を取消させたい。
・第三者による無許可の当社Ｗｅｂアプリ販売は、商標権の侵害になるのでないか。",,"対応について説明
１．販売サイトのサイトポリシーを確認して、サイト管理者へ不正掲載の確認と取消の通知を行う。
２．所轄署（渋谷区）への被害届（商標権侵害）の相談を行う。","ボルテージ㈱：Ｗｅｂアプリ制作販売大手
メルカリサイト：スマホベース個人ネット販売サイト",,,,,
48,59,1,01.個別サイバーセキュリティ事象の相談【Mission１】,061.なりすまされたECサイトの被害,友人が、通販サイトの偽サイトに自社の住所等が使われたが、対応策等について教えてもらいたい。,"１　相談者の友人は、
　　　　所在地　墨田区業平４ー１ー４
　　　　会社名　有限会社　フルート
　　　　代表取締役社長　高畑　実
　である。
２　友人の会社は、ネイルの通販会社であるが、　通販サイトの偽サイトに自社の所在地・会社名　・代表者等が使われた。
３　偽サイトにより、皿を購入した者から、「現金を　支払ったが、商品が届いていない」との電話連　絡を受けた。
４　偽サイトで皿を通販されていることが判明した　が、友人としては今後どのような対策等をすれ　ば良いか教えてもらいたい。
　
　",,################,,,,,,
49,61,1,01.個別サイバーセキュリティ事象の相談【Mission１】,061.なりすまされたECサイトの被害,通販サイトに偽サイトを使われているが、対応策等教えてもらいたい。,"１　個人事業主店名「ギャズネット」として、あらゆる商品をネット通販している。
２　偽サイトは、
　　　　住所は、当店と同じ
　　　　名義は、奥山早苗
　　　　社名は、株式会社ギャズネット
として、ネット通販している。
３　管轄警察署である、警視庁荏原警察署に相談した結果、管理するサパー会社が米国にあるため、偽サイトを解明するには難しい。
４　偽サイトの対応策等を教えてもらいたい。",,"１　偽サイトは、警察庁を通じてセキュリティ事業者にＵＲＬリストを提供している。被害者がいたら、地元の警察署に行くこと。
２　民間団体「なりすましＥＣ対策協議会」発行の資料を参考にすること。
３　検索サイト「ヤフー」や「グーグル」の専用ホームから偽サイトの削除要請をすること。
４　自社のホームページに偽サイトの注意喚起をすること。",,,,,,
50,62,2,01.個別サイバーセキュリティ事象の相談【Mission１】,061.なりすまされたECサイトの被害,当社のホームページにフィッシング被害が発生している可能性があるので、対応策を教えてください。,"当社はゲーム制作やコンテンツ作成支援業務を行っている。
当社のホームページでフィッシング被害が発生している可能性があり、万世橋警察暑へ被害届を出した。
被害の状況については、フィッシング対策協議会へ連絡をした。

当社設置サーバは、Ｗｅｂサーバ、ＤＢサーバ、
ＡＰサーバがあり、自社開発用及び運用機器として稼働している。又業務上ＡＷＳ（アマゾンクラウドＷｅｂ）を利用している。

システム上のフィッシング被害防止に関する今後の対策や相談窓口があれば教えてください。",警視庁サイバーセ犯罪対策課へクラウドゲイト社の要望を連絡済。,"フィッシング対策やＷｅｂ脆弱性評価に関してＩＰＡの情報セキュリティ・タグよりツールの適用調査を紹介した。
尚、今後のフィッシング予防対策として第三者によるＷeb脆弱性評価サービスの利用を提案。",,,,,,
51,80,1,01.個別サイバーセキュリティ事象の相談【Mission１】,061.なりすまされたECサイトの被害,当公社の傘下会社からの仲介によるもので、傘下会社の元従業員が、同会社のホームページ、ドメイン、アドレス等を盗み取って使用しているので、同メールを使用させない方法があれば教えてもらいたい。,"１　当公社の傘下会社からの相談内容である。
２　相談内容は、以前会社で勤めていた元従業員が、会社で使用していたホームページ、ドメイン、アドレス等を盗み取って現在使用している。
３　現在、新規にホームページをつくり、使用しているので、乗っ取られたホームページ等は使用していない。
４　現時点において、元従業員に乗っ取られたホームページ以外の被害はない
５　今後、乗っ取られたホームページを元従業員
に使用させない方法等があれば教えてもらいたい。",,"１　新ホームページ上に、乗っ取られたホームページについては、当社とは一切関係ない旨を載せ周知徹底させること。
２　乗っ取られたホームページについては、管轄する警察署に被害を提出すること等を教示した。",,,,,,
52,85,2,01.個別サイバーセキュリティ事象の相談【Mission１】,061.なりすまされたECサイトの被害,全く知らない会社が、当社のホームページを勝手に掲載しており、どうすれば削除できるか教えてもらいたい。,"１　株式会社ユニラボの武藤と名乗る見ず知らずの者から、「当社の発注者比較サイト「アイミツ」のホームページに貴社のホームページを掲載した」等というメールを受信した。
２　当社は、当社のホームページをアイミツに搭載してもらう依頼もしていないのに、勝手にアイミツに掲載され困っている。
３　現時点において、被害等はないが、このまま勝手に掲載されているのも不安なので、削除方法など良い方法があれば教えてもらいたい。",,"１　貴社のホームページを勝手に掲載した相手の会社に対し、当社は無断でホームページを搭載され、迷惑しているので削除してもらうよう削除依頼のメールやファクスをすること。
２　「アイミツ」とは一切関係ない旨を貴社のホームページ上に掲載すること。
３　削除されない場合、法テラスや総務省支援機関の有害情報相談センターに相談することを教示した。",,,,,,
53,92,1,01.個別サイバーセキュリティ事象の相談【Mission１】,061.なりすまされたECサイトの被害,他人が勝手に、当社のホームページを作り、信用もなくなり契約等の仕事ができなくなる被害を受け困っている。,"１　夫婦で、個人経営として、広告代理店を営んでいる。
２　今年４月ころ、友人から「貴方達夫婦の個人情報が漏れていると思われるので、確認しなさい」等と警告されました。
３　警告に従い、会社のホームページを確認したところ、他人が勝手に会社のホームページを作っていた被害が発覚した。
４　そこで、米国のサーバー会社「ゴーダリドットコム」に被害の相談をした結果、弁護士に相談するよう指示され、弁護士に相談するも解決されなかった。
５　再度、前記サーバー会社に相談したところ、
警察に相談するよう指示され、その足で地元の
警察署に相談した結果、警視庁サイバー犯罪対策課に相談するように指導されたもの。
６　警察署が、サイバー犯罪対策の電話番号を誤ったことから、当相談窓口に電話されたものと判明。",会社のホームページは、paul boylan:comである。,１　他人が勝手にホームページを作ったことにより、信用を失墜し、契約等の仕事が滞ってしまうような業務上妨害の被害を現実に受けていることが判明。２　警視庁サイバー犯罪対策課相談係の電話番号を教示した。,当相談窓口の電話番号を誤って紹介した警察署に対し、紹介先は良く確認するよう依頼済。,,,,,
54,93,1,01.個別サイバーセキュリティ事象の相談【Mission１】,061.なりすまされたECサイトの被害,自社の住所、代表者を騙った偽サイトで購入したユーザが詐欺にあった。被害の問い合わせが自社にあった。,"ユーザは、警視庁に届けると言っている。
自社はどうすればいいか？",,警視庁サイバー犯罪対策課へ相談するように伝えた。,"ユーザの届出により、警視庁が偽サイトの運営者を摘発し、振込先の銀行口座が凍結されることを期待。
自社のサイトに、偽サイトに注意喚起のお知らせを載せること意義がある",,,,,
55,110,1,01.個別サイバーセキュリティ事象の相談【Mission１】,061.なりすまされたECサイトの被害,なりすましサイト被害者からの問い合せ対応の相談,"自社（株式会社フリージャパン）の電話番号、住所がなりすましサイト（株式会社プラス）で使用され被害者から問い合せがあった。
対応方法を教えてください。

被害者はなりすましサイトで冷蔵庫を6万円で購入したが物品が送付されない。(支払方法は未確認）
なりすましサイトに表示された連絡先（㈱フリージャパン）への問い合せを行ない、詐欺被害は発覚した。

※被害者　名倉　様　０３－３３４０－０１９３",,"対応について
１．被害者には所轄署へ被害届及び被害相談の連絡を依頼した。

２．自社ホームページに詐欺被害発生につてのメッセージ表記を要請。
３．参考情報として「なりすましＥＣサイト対策協議会」のホームページを案内した。",,,,,,
56,111,1,01.個別サイバーセキュリティ事象の相談【Mission１】,061.なりすまされたECサイトの被害,Ａｍａｚｏｎネット中古ﾏｰｹｯトへの出品販売（中古電卓販売）が妨害されるので対処があれば教えてください。,"Ａｍａｚｏｎへ中古電卓を出品販売をしている。
最近多数の代引注文が発生している。(1ヶ月約１００件程度）
通常配送が1週間程度かかるが、その間に当社の販売品と同じ中古機種が特定業者よりＡｍａｚｏｎ中古マーケットに多数出品される。
以後注文された代引商品が宛先不明で全面的返品になる。
悪意のある購入者(業者？）は架空な住所で注文を出し当社の販売機会を妨害する細工を繰り返している。
尚、金額的被害はマーケットへの再出品手数料が発生している。

※Ａｍａｚｏｎ相談窓口への問い合せしているが今回のケースについては明確な対策回答が無い。",,ネッット販売上の営業妨害と推定しますが具体的な被害発生についての判断が難しいので法的相談窓口「法テラス」にて被害相談を進めた。,,,,,,
57,113,1,01.個別サイバーセキュリティ事象の相談【Mission１】,061.なりすまされたECサイトの被害,当社を騙った偽サイトで購入した利用者からの苦情,"お客から、当社を騙った偽サイトからウオーターを購入したが、商品が届かないとの苦情が届いた。
お客には、警察に被害届を出すように促した。
また、当社のサイトのトップに注意喚起のメッセージを表示した。

他に何をすればいいか？",,"
自社ECサイトがなりすまし被害に遭った際の対処法と、なりすましされないための予防法について、体系的に記述されているマニュアルとして、なりすましECサイト協議会の「なりすましECサイト対策マニュアル」を紹介した。
・問合わせ対応
・削除要請
・警察のサイバー犯罪相談窓口への連絡",,,,,,
58,118,1,01.個別サイバーセキュリティ事象の相談【Mission１】,061.なりすまされたECサイトの被害,他人が、当社のメールアドレス等をなりすましており、その対策等を教えてもらいたい。,"１　当社は、通販サイト運営会社である。
２　今日、お客様から「当社のメールアドレスサイトの電話番号に電話をしたが、つながらなかったので、当社を調べて電話をしてきた」ことが確認された。
３　お客様から確認したメールアドレスを調べたところ、他人が、当社の会社名や所在地や代表名等をなりすましていること等が判明した。
４　現在時、当社やお客様の被害は確認されていないが、今後、なりすましサイト対策をするにはどうすれば良いか教えてもらいたい。",,"１　自社のメールアドレスに、当社と同じメールアドレスをなりすまし、他人が無断で使用している旨を自社ホームページ等に掲載するとともに、関係者等に注意喚起をしておくこと。
２　お客様が、何らかの被害を受けた旨の連絡を受けた場合は、管轄警察署に被害届を提出するよう申し向けること。３　なりすましＥＣサイト対策協議会のサイトから対策マニュアルを抽出し、参考に、今後の対策を図ることを教示した。",,,,,,
